Frame,Time,Action
1380,21.26208,AIStartjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
1393,21.4431,AIEndjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
1546,23.57415,AIStartjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
1736,26.22085,AIEndjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
1958,29.3108,AIStartjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2265,33.58965,AIEndjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2691,39.5149,AIStartjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3020,44.09543,AIEndjane_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
